;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;;total
TIME;FROM;Amstel;Amstelveenseweg;Buikslotermeer;Centraal;Dam;Evertsenstraat;Floradorp;Haarlemmermeerstation;Hasseltweg;Hendrikkade;Leidseplein;Lelylaan;Muiderpoort;Museumplein;RAI;Science Park;Sloterdijk;Surinameplein;UvA;VU;Waterlooplein;Weesperplein;Wibaustraat;Zuid;
0:00;Amstel;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;2;14
0:15;Amstel;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;2;0;0;0;0;13
0:30;Amstel;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;10
0:45;Amstel;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;6
1:00;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3
1:15;Amstel;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;6
1:30;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;6
1:45;Amstel;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
2:00;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;4
2:15;Amstel;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4
2:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
2:45;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3:00;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
3:15;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;4
3:30;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;4
3:45;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3
4:00;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;3
4:15;Amstel;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;5
4:30;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;5
4:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
5:00;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;4
5:15;Amstel;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;7
5:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
5:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
6:00;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3
6:15;Amstel;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;6
6:30;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;5
6:45;Amstel;1;0;0;1;1;1;0;1;0;0;1;0;0;2;1;0;1;0;1;0;0;0;0;1;12
7:00;Amstel;0;0;0;1;0;1;0;2;0;0;1;1;0;1;2;2;0;0;2;1;1;0;1;1;17
7:15;Amstel;2;1;0;6;0;2;1;1;1;0;6;2;3;0;1;3;3;1;4;2;1;0;0;1;41
7:30;Amstel;8;7;2;16;8;1;2;10;3;2;13;7;1;10;11;2;7;1;0;4;4;3;2;10;134
7:45;Amstel;8;2;1;30;7;5;12;21;6;4;5;1;18;16;17;8;1;3;14;5;6;5;7;19;221
8:00;Amstel;13;9;1;10;9;3;10;19;7;1;17;7;9;1;0;15;19;3;15;9;6;6;1;4;194
8:15;Amstel;3;1;0;17;2;13;4;5;1;2;18;12;8;11;16;11;1;3;15;12;2;2;3;1;163
8:30;Amstel;6;6;3;0;13;12;6;2;4;2;17;9;12;3;1;15;6;0;16;0;2;6;2;16;159
8:45;Amstel;12;11;1;1;6;12;10;11;6;1;7;12;16;17;14;16;15;0;17;13;7;1;6;8;220
9:00;Amstel;15;3;2;19;19;8;3;3;7;2;15;7;15;8;18;16;6;4;13;7;3;2;5;20;220
9:15;Amstel;1;3;2;19;11;8;4;6;4;1;0;5;8;3;8;11;9;1;6;4;3;0;3;1;121
9:30;Amstel;4;4;1;12;2;7;1;10;3;1;5;0;3;5;9;3;12;2;0;0;1;1;2;3;91
9:45;Amstel;1;1;1;4;0;2;3;7;2;1;1;4;4;8;2;4;7;0;3;7;3;2;1;5;73
10:00;Amstel;1;2;1;5;1;1;1;4;2;0;5;3;2;2;0;1;4;0;3;0;2;2;2;4;48
10:15;Amstel;3;2;1;5;1;3;1;4;2;1;2;3;2;6;2;4;1;0;2;2;1;2;2;6;58
10:30;Amstel;0;2;1;2;3;3;0;1;0;1;2;1;0;6;3;0;5;1;3;4;1;2;1;1;43
10:45;Amstel;1;1;1;5;5;2;0;0;2;1;4;3;3;5;4;1;1;1;6;5;1;1;1;2;56
11:00;Amstel;0;3;0;2;4;0;2;2;2;1;4;3;5;3;2;1;3;0;1;4;0;1;1;4;48
11:15;Amstel;0;1;0;2;5;2;3;5;0;1;5;3;5;5;3;1;2;1;6;3;0;1;2;3;59
11:30;Amstel;1;2;1;1;3;2;1;6;1;0;3;2;1;4;1;4;1;0;4;0;0;2;0;0;40
11:45;Amstel;3;3;1;6;4;3;1;4;0;1;6;3;2;5;2;4;5;1;0;1;0;1;2;2;60
12:00;Amstel;4;3;1;1;5;3;2;2;1;0;7;0;6;1;1;2;6;1;2;2;1;1;2;4;58
12:15;Amstel;5;4;1;9;0;4;2;1;1;1;7;4;1;5;4;4;7;0;3;3;2;3;0;8;79
12:30;Amstel;4;4;0;2;6;6;2;5;2;0;3;1;1;2;2;6;8;0;9;3;2;2;1;3;74
12:45;Amstel;6;1;0;3;4;2;2;8;1;1;1;2;6;8;2;7;1;0;3;2;0;2;0;1;63
13:00;Amstel;6;2;0;3;7;3;1;6;3;1;2;1;2;3;7;2;2;1;0;1;2;1;1;2;59
13:15;Amstel;4;2;1;3;4;4;0;7;2;1;4;3;4;1;3;2;7;0;0;2;0;1;1;2;58
13:30;Amstel;3;2;1;3;2;0;0;2;1;1;6;2;1;2;2;0;2;0;3;1;0;0;0;5;39
13:45;Amstel;1;2;0;7;1;1;0;5;1;0;3;3;4;4;2;2;2;1;2;1;1;1;2;0;46
14:00;Amstel;3;0;1;7;2;0;0;5;1;0;1;3;1;1;4;2;4;1;5;5;1;1;0;0;48
14:15;Amstel;2;1;0;8;6;4;2;2;0;0;6;3;3;5;1;0;3;0;6;1;1;1;2;5;62
14:30;Amstel;2;3;0;0;0;0;2;1;2;1;2;0;1;5;1;4;1;0;0;1;1;1;2;1;31
14:45;Amstel;0;2;0;5;2;3;0;0;1;1;4;1;4;2;2;2;6;1;4;0;1;1;1;5;48
15:00;Amstel;2;2;1;6;3;2;3;3;0;0;5;0;1;5;1;2;6;1;5;6;1;0;1;3;59
15:15;Amstel;4;0;0;3;1;2;1;1;2;1;5;1;0;5;3;4;3;1;4;3;2;2;2;2;52
15:30;Amstel;2;1;0;4;0;2;1;3;1;1;2;2;4;1;0;4;5;1;3;2;2;1;1;5;48
15:45;Amstel;4;2;0;7;0;1;1;4;0;1;4;2;3;5;0;0;5;0;2;6;2;0;2;3;54
16:00;Amstel;7;1;0;9;5;7;7;0;4;2;1;5;1;1;3;12;1;1;9;7;0;3;4;1;91
16:15;Amstel;9;5;0;17;8;6;4;8;6;1;7;1;13;1;11;14;5;3;8;4;2;3;5;10;151
16:30;Amstel;11;7;2;17;12;12;1;7;5;1;2;5;0;13;3;12;0;2;12;10;5;3;3;16;161
16:45;Amstel;11;5;1;5;1;3;8;3;5;2;13;6;13;11;11;5;1;3;10;9;6;2;4;1;139
17:00;Amstel;2;7;1;1;14;3;2;10;1;1;4;12;3;18;3;10;20;2;8;14;1;7;3;9;156
17:15;Amstel;1;6;1;6;12;11;6;5;5;1;2;10;3;0;12;9;7;1;17;0;7;5;3;6;136
17:30;Amstel;10;7;1;26;14;12;7;3;6;2;13;6;6;5;6;7;16;1;13;8;5;7;6;3;190
17:45;Amstel;5;5;2;7;12;6;9;8;1;3;21;9;13;14;13;11;18;4;13;14;7;2;1;5;203
18:00;Amstel;12;11;1;17;13;12;3;1;0;1;11;10;0;20;2;15;2;3;8;5;1;2;7;13;170
18:15;Amstel;2;11;2;4;10;10;7;14;0;0;17;10;13;3;2;20;20;3;15;6;3;4;5;3;184
18:30;Amstel;4;6;2;15;14;9;6;8;1;2;4;1;6;3;4;3;12;1;6;14;5;0;1;6;133
18:45;Amstel;4;0;1;4;4;6;4;5;2;1;4;3;7;7;3;4;1;0;4;3;0;2;0;1;70
19:00;Amstel;0;3;1;6;8;3;2;2;3;1;0;3;6;5;2;3;1;1;3;8;2;2;1;4;70
19:15;Amstel;1;2;0;4;2;3;2;5;2;1;5;4;4;3;0;3;5;1;4;5;0;1;1;2;60
19:30;Amstel;4;2;0;4;5;0;2;5;1;0;5;0;1;5;2;1;6;1;5;2;0;1;2;3;57
19:45;Amstel;2;3;1;0;1;2;3;3;1;0;4;1;1;4;3;4;3;1;2;6;1;1;2;2;51
20:00;Amstel;4;1;1;2;5;4;1;3;1;1;2;1;5;3;2;4;4;0;2;3;0;1;0;1;51
20:15;Amstel;2;1;1;0;4;1;2;3;1;0;2;4;3;4;3;4;0;1;0;4;2;1;2;6;51
20:30;Amstel;3;0;0;2;3;2;1;1;0;1;1;1;2;2;3;3;3;1;3;1;1;1;1;2;38
20:45;Amstel;3;2;1;3;2;2;1;3;0;1;2;3;2;1;3;2;2;0;5;1;1;0;2;1;43
21:00;Amstel;0;1;1;6;0;1;2;0;1;1;2;1;3;5;0;1;5;1;4;3;1;0;1;1;41
21:15;Amstel;0;1;1;0;1;1;1;1;0;0;3;1;3;3;4;0;4;1;5;1;1;1;0;4;37
21:30;Amstel;2;2;0;6;4;2;0;0;1;1;3;2;2;1;1;3;4;1;4;2;0;1;1;4;47
21:45;Amstel;2;1;1;5;4;1;2;4;0;1;4;1;0;0;2;1;1;0;3;1;1;1;1;2;39
22:00;Amstel;4;3;0;7;1;3;3;6;2;1;4;3;1;5;4;3;4;1;6;2;1;2;1;3;70
22:15;Amstel;3;3;1;8;3;1;1;1;1;1;2;2;1;4;1;1;5;0;5;3;1;2;1;3;54
22:30;Amstel;0;2;0;6;0;3;0;2;0;1;1;0;0;3;2;3;5;0;0;3;0;1;0;1;33
22:45;Amstel;0;2;1;2;2;0;1;3;0;0;1;3;2;1;1;1;0;0;3;2;1;0;1;5;32
23:00;Amstel;0;1;0;2;2;1;1;0;1;0;3;0;2;2;2;3;2;1;3;0;1;1;1;2;31
23:15;Amstel;0;1;0;1;0;2;2;1;1;0;1;0;1;2;2;1;0;0;0;3;1;1;0;3;23
23:30;Amstel;1;0;0;2;2;2;2;0;1;1;3;1;2;1;1;2;2;0;1;3;0;0;0;3;30
23:45;Amstel;0;1;0;3;1;0;0;2;0;0;0;0;0;1;2;2;1;0;2;2;0;1;1;3;22
0:00;Amstelveenseweg;0;0;0;2;1;1;0;0;0;0;0;1;1;0;1;1;0;0;2;2;0;0;0;0;12
0:15;Amstelveenseweg;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;8
0:30;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;9
0:45;Amstelveenseweg;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;9
1:00;Amstelveenseweg;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
1:15;Amstelveenseweg;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3
1:30;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;4
1:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;3
2:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
2:15;Amstelveenseweg;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
2:30;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4
2:45;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
3:00;Amstelveenseweg;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
3:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;3
3:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
3:45;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;4
4:00;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;6
4:15;Amstelveenseweg;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;5
4:30;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4:45;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3
5:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
5:15;Amstelveenseweg;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;5
5:30;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
5:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
6:00;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;8
6:15;Amstelveenseweg;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
6:30;Amstelveenseweg;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;5
6:45;Amstelveenseweg;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;11
7:00;Amstelveenseweg;0;1;0;3;2;1;0;0;0;0;1;2;2;2;1;1;0;0;3;2;0;0;1;1;23
7:15;Amstelveenseweg;1;1;0;4;1;3;3;3;0;0;5;1;3;2;1;0;5;1;2;4;2;0;0;2;44
7:30;Amstelveenseweg;3;3;0;18;4;2;0;4;2;2;12;10;11;12;6;0;1;1;11;3;2;5;4;9;125
7:45;Amstelveenseweg;15;12;2;30;18;1;2;12;6;2;19;7;5;15;13;11;14;2;10;20;6;0;2;7;231
8:00;Amstelveenseweg;3;11;3;27;22;12;1;16;0;0;21;11;13;16;12;12;22;3;19;4;1;1;6;20;256
8:15;Amstelveenseweg;9;4;3;16;4;2;4;17;6;2;6;7;1;16;8;3;2;1;21;3;1;5;4;6;151
8:30;Amstelveenseweg;11;8;3;11;1;6;10;15;3;1;6;12;5;4;12;4;19;1;7;18;0;6;5;14;182
8:45;Amstelveenseweg;8;0;1;11;16;4;1;7;5;1;14;2;16;7;6;8;20;1;5;10;6;7;5;3;164
9:00;Amstelveenseweg;9;10;3;1;5;10;6;24;4;4;21;3;18;6;5;3;3;3;12;11;4;4;7;24;200
9:15;Amstelveenseweg;10;5;1;16;12;10;2;3;5;0;2;8;0;12;3;1;4;0;12;3;2;3;3;15;132
9:30;Amstelveenseweg;1;4;0;2;12;3;3;7;1;1;5;7;3;10;4;4;6;1;7;5;3;0;3;6;98
9:45;Amstelveenseweg;1;3;1;6;0;3;4;3;2;1;6;0;7;2;2;7;2;0;4;6;1;2;3;5;71
10:00;Amstelveenseweg;3;2;1;6;3;3;2;0;1;0;3;3;4;6;4;4;1;0;1;5;0;1;1;2;56
10:15;Amstelveenseweg;1;2;0;7;5;0;1;6;2;0;5;2;3;2;5;4;2;0;0;4;0;0;2;5;58
10:30;Amstelveenseweg;3;1;1;0;1;1;0;3;0;0;5;1;3;1;2;1;5;0;6;5;1;2;1;2;45
10:45;Amstelveenseweg;1;1;0;4;5;3;0;3;1;1;0;3;3;3;5;2;2;1;4;1;1;1;1;4;50
11:00;Amstelveenseweg;2;1;0;6;1;4;2;2;1;1;2;4;2;4;2;0;3;0;4;1;0;1;1;3;47
11:15;Amstelveenseweg;2;2;0;1;4;0;3;4;0;1;3;3;0;4;5;4;0;0;2;4;2;1;0;2;47
11:30;Amstelveenseweg;4;2;1;4;3;1;1;1;0;0;4;2;1;6;1;5;5;1;5;5;2;2;2;4;62
11:45;Amstelveenseweg;0;2;0;0;2;2;0;5;0;0;5;1;3;4;3;0;0;0;5;2;1;0;0;2;37
12:00;Amstelveenseweg;3;2;0;7;5;2;3;3;2;0;1;1;1;3;3;5;3;1;5;1;0;1;2;4;58
12:15;Amstelveenseweg;5;5;1;11;1;5;0;7;1;1;2;0;5;4;0;2;7;1;6;6;2;0;2;2;76
12:30;Amstelveenseweg;5;3;0;11;2;4;4;7;1;0;4;6;1;4;6;2;7;1;3;4;1;1;3;6;86
12:45;Amstelveenseweg;2;0;1;7;2;5;4;3;1;1;6;0;4;1;4;3;1;1;7;3;1;2;2;5;66
13:00;Amstelveenseweg;6;3;1;5;7;6;1;9;1;1;5;5;2;9;7;5;8;1;0;7;3;2;0;2;96
13:15;Amstelveenseweg;3;3;0;5;3;0;1;4;2;0;3;3;2;4;3;5;2;1;7;6;1;2;2;5;67
13:30;Amstelveenseweg;2;0;1;5;4;0;1;2;1;0;4;4;2;2;4;5;3;1;2;4;0;1;2;3;53
13:45;Amstelveenseweg;1;1;1;1;4;2;1;4;1;1;0;4;4;1;2;5;3;1;2;2;1;0;1;0;43
14:00;Amstelveenseweg;3;0;0;1;2;3;3;4;2;1;3;1;1;1;2;2;4;0;1;3;1;0;2;4;44
14:15;Amstelveenseweg;1;2;1;7;4;2;2;2;1;1;1;1;1;3;2;2;2;1;6;3;2;0;1;1;49
14:30;Amstelveenseweg;2;1;1;2;4;2;2;1;0;0;1;3;1;1;2;2;4;0;4;5;1;1;1;2;43
14:45;Amstelveenseweg;2;1;0;3;4;3;2;1;0;0;1;3;4;1;5;2;6;0;2;1;1;2;1;3;48
15:00;Amstelveenseweg;1;1;1;2;2;2;0;0;0;0;3;0;3;5;0;3;4;0;4;4;2;1;1;4;43
15:15;Amstelveenseweg;4;0;1;0;0;3;0;3;2;0;2;3;0;5;1;4;3;1;2;2;1;1;1;3;42
15:30;Amstelveenseweg;1;2;0;2;4;0;2;4;1;1;2;1;3;3;3;1;5;1;2;5;0;1;1;4;49
15:45;Amstelveenseweg;1;1;1;5;4;2;1;1;2;1;1;2;1;4;1;4;3;0;5;2;0;0;1;2;45
16:00;Amstelveenseweg;9;2;3;19;15;9;6;8;1;1;15;8;12;11;2;4;8;0;4;10;4;0;4;2;157
16:15;Amstelveenseweg;5;1;2;12;14;8;4;4;0;2;15;5;0;13;13;13;17;2;9;9;4;1;1;0;154
16:30;Amstelveenseweg;2;7;2;6;13;8;3;11;4;0;16;9;10;18;6;10;0;1;14;0;0;1;2;0;143
16:45;Amstelveenseweg;4;3;0;6;17;7;3;2;5;2;0;2;12;13;3;2;2;0;10;13;4;3;1;14;128
17:00;Amstelveenseweg;13;1;3;6;16;0;10;0;0;2;4;3;8;6;0;9;5;3;17;3;7;3;5;3;127
17:15;Amstelveenseweg;11;5;0;12;10;8;2;8;5;3;15;2;6;2;13;12;10;3;13;15;1;1;1;14;172
17:30;Amstelveenseweg;10;5;2;26;20;13;7;10;6;2;9;10;12;17;7;1;21;2;7;3;1;3;3;10;207
17:45;Amstelveenseweg;4;10;2;15;10;2;9;10;3;3;12;5;15;2;14;4;0;3;9;18;2;6;1;19;178
